pnu,eui,usage_type,built_year
1111010100100040020,64.7,제1종근린생활시설,2014
1111010100100160001,38.2,제2종근린생활시설,2023
1111010100100500031,192.5,제2종근린생활시설,1991
1111010100100530057,34.1,제2종근린생활시설,2008
1111010100100540000,162.7,교육연구시설,
1111010100100550014,110.9,제2종근린생활시설,1989
1111010100100890003,97.3,교육연구시설,1979
1111010100100890020,64,종교시설,1992
1111010100100890110,136.9,교육연구시설,1996
1111010100101080008,82.6,제2종근린생활시설,2021
1111010100101080021,94.2,제2종근린생활시설,2000
1111010100101130003,79.7,제2종근린생활시설,2012
1111010100101140001,108.2,제2종근린생활시설,2005
1111010100101150001,129.8,제2종근린생활시설,1989
1111010100101230000,127.5,교육연구시설,2005
1111010200100010001,192.9,교육연구시설,2007
1111010200100010004,237.1,교육연구시설,
1111010200100020084,125.9,종교시설,2004
1111010200100040002,129.5,제2종근린생활시설,2011
1111010200100570000,111.5,제2종근린생활시설,1986
1111010200100580001,185.8,제2종근린생활시설,1999
1111010200100590000,103.2,제2종근린생활시설,1998
1111010200100660000,67.1,노유자시설,2012
1111010200100700002,189.9,제1종근린생활시설,1998
1111010200100700010,88.5,제2종근린생활시설,1990
1111010300100030006,112.6,제2종근린생활시설,2018
1111010300100040001,103.2,노유자시설,2014
1111010300100120001,150.9,제1종근린생활시설,1992
1111010400100380000,89.2,교육연구시설,1981
1111010400100640000,85.2,제2종근린생활시설,2008
1111010400100700001,106.4,제1종근린생활시설,
1111010400101010002,50.1,제2종근린생활시설,2019
1111010500101310000,156.2,제1종근린생활시설,1982
1111010500101560000,262,제2종근린생활시설,1990
1111010500101580005,84.7,제1종근린생활시설,2012
1111010600100020001,21.3,제2종근린생활시설,
1111010600100030000,126.1,제2종근린생활시설,2023
1111010600100060000,78.4,제2종근린생활시설,2003
1111010600100070033,122.3,문화및집회시설,2018
1111010600100120000,129.9,제2종근린생활시설,
1111010600100350009,73.7,제1종근린생활시설,2011
1111010600100350017,102.1,제1종근린생활시설,2020
1111010600100350022,186.3,업무시설,1980
1111010600100350023,42.7,제2종근린생활시설,2002
1111010600100350024,60,업무시설,
1111010600100350032,180.8,제2종근린생활시설,2013
1111010600100350034,130.9,교육연구시설,1994
1111010600100350043,294.3,제2종근린생활시설,2023
1111010600100350053,175.1,교육연구시설,1967
1111010600100350074,105,종교시설,
1111010600100350084,96.7,제1종근린생활시설,1960
1111010600100910019,98.7,제2종근린생활시설,2002
1111010600100910026,353.6,업무시설,
1111010600100910033,91.8,제2종근린생활시설,1991
1111010600101020000,117.3,업무시설,2000
1111010600101040000,170.6,제2종근린생활시설,1992
1111010600101080000,102.5,제1종근린생활시설,1982
1111010700100110000,132,제1종근린생활시설,
1111010700100190000,123.1,제2종근린생활시설,2016
1111010700100200000,342.5,제1종근린생활시설,
1111010700100660000,160.1,업무시설,1989
1111010700100800000,181.8,업무시설,1986
1111010700101000001,173.1,제2종근린생활시설,2005
1111010700101220001,156.8,업무시설,1990
1111010700101560000,131.3,업무시설,2003
1111010800100010002,66.6,업무시설,1994
1111010800100310004,113.3,근린생활시설,1998
1111010800101320000,92.8,제2종근린생활시설,2007
1111010800101340001,138.6,제2종근린생활시설,1980
1111010800101350004,116.4,제1종근린생활시설,1991
1111010800101470007,79.8,제2종근린생활시설,2009
1111010800101490005,146,제2종근린생활시설,1986
1111010800101560002,75.5,업무시설,1982
1111016400101890000,61.5,업무시설,2010
1114013200101540001,212.7,제1종근린생활시설,1966
1114014500101820030,222.6,숙박시설,1980
1123010900103670000,200.8,공동주택,2011
1126010100101440025,113.9,제1종근린생활시설,2005
1126010100104590015,352.7,제1종근린생활시설,1978
